Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int,Unnamed: 12
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL,
,,1,17.9,17.9,17.9,53.7,17.9,3,53.7,
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,,
,,3,6.9,6.9,6.9,20.7,6.9,4,27.6,
AÇÚCAR (5kg),marca,5,Delta,Cristal de minas ,Total,Media,Quantidade,TOTAL,,
,,5,17.98,17.98,17.98,53.94,17.98,2,35.96,
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,,
,,7,15.98,15.98,15.98,47.94,15.98,3,47.94,
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,,
,,9,4.98,4.98,4.98,14.94,4.98,3,14.94,
FARINHA DE MAND. (1kg),marca,11,Pachá,Ama Fil,Total,Media,Quantidade,TOTAL,,
,,11,4.68,4.68,4.68,14.04,4.68,1,4.68,
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,,
,,13,5.99,,,5.99,5.99,4,23.96,
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,,
,,15,4.98,,,4.98,4.98,1,4.98,
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,,
,,17,8.99,,,8.99,8.99,9,80.91,
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,,
,,19,18.99,,,18.99,18.99,0.2,3.798,
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,,
,,21,7.99,7.99,,15.98,7.99,3,23.97,
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,,
,,23,3.58,3.58,3.58,10.74,3.58,4,14.32,
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,,
,,25,1.68,1.68,1.68,5.04,1.68,2,3.36,
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,,
,,27,10.98,,,10.98,10.98,6,65.88,
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,,
,,29,3.6,3.6,,7.2,3.6,7.5,27,
ÓLEO DE SOJA (900ml),marca,31,ABC,Soya,Total,Media,Quantidade,TOTAL,,
,,31,9.58,9.58,9.58,28.74,9.58,5,47.9,
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,,
,,33,3.98,3.98,3.98,11.94,3.98,7.5,29.85,
LEITE EM PÓ (450g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,,
,,35,12.5,12.5,12.5,37.5,12.5,3,37.5,
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,,
,,37,3.75,3.75,3.75,11.25,3.75,4,15,
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,,
,,39,1.98,1.98,1.98,5.94,1.98,4,7.92,
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,,
,,41,44.8,44.8,44.8,134.4,44.8,3,134.4,
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,,
,,43,27.8,27.8,27.8,83.4,27.8,4,111.2,
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,,
,,45,7.98,7.98,,15.96,7.98,5,39.9,
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,,
,,47,11.98,11.98,11.98,35.94,11.98,0.5,5.99,
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,,
,,49,12.9,12.9,12.9,38.7,12.9,0.3,3.87,
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,,
,,51,27.9,27.9,27.9,83.7,27.9,0.5,13.95,
,,53,,,Total,Media,Quantidade,TOTAL,880.478,
,,53,,,,,,,,
SABÃO EM PÓ (500g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,,
,,55,4.95,4.95,4.95,14.85,4.95,4,19.8,
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,,
,,57,2.38,2.38,,4.76,2.38,15,35.7,
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Tuff,Total,Media,Quantidade,TOTAL,,
,,59,2.6,2.6,2.6,7.8,2.6,2,5.2,
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,,
,,61,1.95,1.95,1.95,5.85,1.95,2,3.9,","
,,63,,,Total,Media,Quantidade,TOTAL,64.6,
,,63,,,,,,,,
