Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,16.69,16.69,16.69,50.07,16.69,3,50.07
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,7.98,7.98,7.98,23.94,7.98,4,31.92
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,19.89,19.89,19.89,59.67,19.89,2,39.78
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,16.98,16.98,16.98,50.94,16.98,3,50.94
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,4.25,4.25,4.25,12.75,4.25,3,12.75
FARINHA DE MAND. (1kg),marca,11,Pachá,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,4.99,4.99,4.99,14.97,4.99,1,4.99
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,6.98,,,6.98,6.98,4,27.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,8.98,,,8.98,8.98,1,8.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,7.98,,,7.98,7.98,9,71.82
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,23.98,,,23.98,23.98,0.2,4.796
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,7.98,7.98,,15.96,7.98,3,23.94
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,4.39,4.39,4.39,13.17,4.39,4,17.56
EXTRATO DE TOMATE (300g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,
,,25,2.69,2.69,2.69,8.07,2.69,2,5.38
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,12.98,,,12.98,12.98,6,77.88
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,5.98,5.98,,11.96,5.98,7.5,44.85
ÓLEO DE SOJA (900ml),marca,31,ABC,Vitaliv,Total,Media,Quantidade,TOTAL,
,,31,9.99,9.99,9.99,29.97,9.99,5,49.95
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,5.29,5.29,5.29,15.87,5.29,7.5,39.675
LEITE EM PÓ (450g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,13.99,13.99,13.99,41.97,13.99,3,41.97
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,3.89,3.89,3.89,11.67,3.89,4,15.56
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,2.88,2.88,2.88,8.64,2.88,4,11.52
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Patinho,Total,Media,Quantidade,TOTAL,
,,41,41.98,41.98,41.98,125.94,41.98,3,125.94
CARNE DE SEGUNDA (1kg),marca,43,Acém,maçã do peito,Total,Media,Quantidade,TOTAL,
,,43,34.98,34.98,34.98,104.94,34.98,4,139.92
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,10.98,10.98,10.98,32.94,10.98,5,54.9
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,14.28,14.28,14.28,42.84,14.28,0.5,7.14
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,49,14.49,14.49,14.49,43.47,14.49,0.3,4.347
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,
,,51,43.98,43.98,43.98,131.94,43.98,0.5,21.99
,,53,,,Total,Media,Quantidade,TOTAL,986.488
,,53,,,,,,,
SABÃO EM PÓ (400g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,6.19,6.19,6.19,18.57,6.19,4,24.76
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,57,2.89,2.89,,5.78,2.89,15,43.35
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Tuff,Total,Media,Quantidade,TOTAL,
,,59,2.49,2.49,2.49,7.47,2.49,2,4.98
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,61,2.39,2.39,2.39,7.17,2.39,2,4.78
,,63,,,Total,Media,Quantidade,TOTAL,77.87
,,63,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,65,Paradiso,Valor,Total,Media,Quantidade,TOTAL,
,,65,3.68,3.68,3.68,11.04,3.68,3,11.04
CREME DENTAL (tubo 90g),marca,67,Colgate,Sorriso,Total,Media,Quantidade,TOTAL,
,,67,4.48,4.48,,8.96,4.48,2,8.96
SABONETE (90g),marca,69,Lux,Palmolive,Total,Media,Quantidade,TOTAL,
,,69,2.29,2.29,,4.58,2.29,10,22.9
DESODORANTE SPRAY (100ml),marca,71,Rexona ,Monange ,Total,Media,Quantidade,TOTAL,
,,71,9.29,9.29,,18.58,9.29,2,18.58
ABSORVENTE (pac. 8 unid.),marca,73,Sym,Intimus,Total,Media,Quantidade,TOTAL,
,,73,,,,,,,
Valor Total,marca,78,,,,Total,385.94,,1128.628
