Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Martins,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,17.29,17.29,17.29,51.87,17.29,3,51.87
FEIJÃO (1kg),marca,Codil,Agrominas,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,10.35,10.35,10.35,31.05,10.35,4,41.4
AÇÚCAR (5kg),marca,Delta,Cristal de minas,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,20.99,20.99,20.99,62.97,20.99,2,41.98
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,17.49,17.49,17.49,52.47,17.49,3,52.47
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Primor,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,6.49,6.49,6.49,19.47,6.49,3,19.47
FARINHA DE MAND. (1kg),marca,Codil,Pachá,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,3.69,3.69,3.69,11.07,3.69,1,3.69
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,5.69,,,5.69,5.69,4,22.76
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,7.59,,,7.59,7.59,1,7.59
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,7.79,,,7.79,7.79,9,70.11
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,18.79,,,18.79,18.79,0.2,3.758
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,7.99,,,7.99,7.99,3,23.97
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,0,0,0,0,0,4,0
EXTRATO DE TOMATE (350g),marca,Santa Amália,Amália,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (350g),preço,3.99,3.99,3.99,11.97,3.99,2,7.98
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,0,,,0,0,6,0
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,3.39,3.39,,6.78,3.39,7.5,25.425
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,11.29,11.29,11.29,33.87,11.29,5,56.45
LEITE (1L),marca,Itambé,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,5.69,5.69,5.69,17.07,5.69,7.5,42.675
LEITE EM PÓ (450g),marca,Itambé,Nutril,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (450g),preço,14.99,14.99,14.99,44.97,14.99,3,44.97
MACARRÃO (pac. 500g),marca,Santa Amália,Cocal,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,3.59,3.59,3.59,10.77,3.59,4,14.36
BISCOITO MAISENA (pac. 200g),marca,Mabel,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,2.85,2.85,2.85,8.55,2.85,4,11.4
CARNE DE PRIMEIRA (1kg),marca,lagarto,Alcatra,Chá de fora,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,33.9,33.9,33.9,101.7,33.9,3,101.7
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,31,31,31,93,31,4,124
FRANGO RESFRIADO INT. (1kg),marca,Cogran,Sadia,Ferreira,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,11.99,11.99,11.99,35.97,11.99,5,59.95
SALSICHA AVULSA (1kg),marca,Avivar,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,6.99,6.99,6.99,20.97,6.99,0.5,3.495
LINGUIÇA TOSCANA FRESCA (1kg),marca,Frial,Sadia,Saudali,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,0,0,0,0,0,0.3,0
QUEIJO MUSSARELA FAT. (1kg) 100g,marca,Copatos,Quero,Vista Alegre,Total,Media,Quantidade	,TOTAL
QUEIJO MUSSARELA FAT. (1kg) 100g,preço,6.49,6.49,6.49,19.47,6.49,0.5,3.245
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
SABÃO EM PÓ (500g),marca,Tixan Ypê,Brilhante,OMO,Total,Media,Quantidade	,TOTAL
SABÃO EM PÓ (500g),preço,6.99,6.99,6.99,20.97,6.99,4,27.96
SABÃO EM BARRA (unid.),marca,Ypê,Minuano,xxxxxxx,Total,Media,Quantidade	,TOTAL
SABÃO EM BARRA (unid.),preço,3.29,3.29,,6.58,3.29,15,49.35
ÁGUA SANITÁRIA (1L),marca,Ultra mais,Tuff,Qboa,Total,Media,Quantidade	,TOTAL
ÁGUA SANITÁRIA (1L),preço,2.79,2.79,2.79,8.37,2.79,2,5.58
DETERGENTE (500 ml),marca,Ypê,Minuano,Azulim,Total,Media,Quantidade	,TOTAL
DETERGENTE (500 ml),preço,1.99,1.99,1.99,5.97,1.99,2,3.98
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,Papoula,Valor,Personal,Total,Media,Quantidade	,TOTAL
PAPEL HIGIÊNICO (pac. 4 unid.),preço,3.59,3.59,3.59,10.77,3.59,3,10.77
CREME DENTAL (tubo 90g),marca,Colgate,Sorriso,xxxxxxx,Total,Media,Quantidade	,TOTAL
CREME DENTAL (tubo 90g),preço,2.99,2.99,,5.98,2.99,2,5.98
SABONETE (90g),marca,Lux,Palmolive,Albany,Total,Media,Quantidade	,TOTAL
SABONETE (90g),preço,2.19,2.19,2.19,6.57,2.19,10,21.9
DESODORANTE SPRAY (100ml),marca,Rexona ,Monange ,xxxxxxx,Total,Media,Quantidade	,TOTAL
DESODORANTE SPRAY (100ml),preço,9.89,9.89,,19.78,9.89,2,19.78
ABSORVENTE (pac. 8 unid.),marca,Sym,Intimus,xxxxxxx,Total,Media,Quantidade	,TOTAL
ABSORVENTE (pac. 8 unid.),preço,,,,,,,
Valor Total,marca,,,,Total,297.02,,983.008
