Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Panela de Ouro,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,16.98,16.98,16.98,50.94,16.98,3,50.94
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,7.98,7.98,7.98,23.94,7.98,4,31.92
AÇÚCAR (5kg),marca,5,Delta,Cristal de minas,Total,Media,Quantidade,TOTAL,
,,5,16.98,16.98,16.98,50.94,16.98,2,33.96
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,16.8,16.8,16.8,50.4,16.8,3,50.4
FARINHA DE TRIGO (1kg),marca,9,Primor,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,3.98,3.98,3.98,11.94,3.98,3,11.94
FARINHA DE MAND. (1kg),marca,11,Pachá,Xap,Total,Media,Quantidade,TOTAL,
,,11,5.38,5.38,5.38,16.14,5.38,1,5.38
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,5.99,,,5.99,5.99,4,23.96
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,6.98,,,6.98,6.98,1,6.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,7.99,,,7.99,7.99,9,71.91
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,19.99,,,19.99,19.99,0.2,3.998
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,8.9,8.9,,17.8,8.9,3,26.7
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,3.99,3.99,3.99,11.97,3.99,4,15.96
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,
,,25,3.28,3.28,3.28,9.84,3.28,2,6.56
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,9.98,,,9.98,9.98,6,59.88
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,3.19,3.19,,6.38,3.19,7.5,23.925
ÓLEO DE SOJA (900ml),marca,31,Velereiro,Soya,Total,Media,Quantidade,TOTAL,
,,31,8.99,8.99,8.99,26.97,8.99,5,44.95
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,4.78,4.78,4.78,14.34,4.78,7.5,35.85
LEITE EM PÓ (400g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,13.98,13.98,13.98,41.94,13.98,3,41.94
MACARRÃO (pac. 500g),marca,37,Santa Amália,Galo,Total,Media,Quantidade,TOTAL,
,,37,4.2,4.2,4.2,12.6,4.2,4,16.8
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,2.38,2.38,2.38,7.14,2.38,4,9.52
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,
,,41,32.8,32.8,32.8,98.4,32.8,3,98.4
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,24.98,24.98,24.98,74.94,24.98,4,99.92
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,7.99,7.99,,15.98,7.99,5,39.95
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,7.48,7.48,7.48,22.44,7.48,0.5,3.74
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,49,12.9,12.9,12.9,38.7,12.9,0.3,3.87
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,
,,51,35.9,35.9,35.9,107.7,35.9,0.5,17.95
,,53,,,Total,Media,Quantidade,TOTAL,837.303
,,53,,,,,,,
SABÃO EM PÓ (400g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,5.85,5.85,5.85,17.55,5.85,4,23.4
SABÃO EM BARRA (unid.),marca,57,Razzo,Ypê,Total,Media,Quantidade,TOTAL,
,,57,2.9,2.9,,5.8,2.9,15,43.5
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Tuff,Total,Media,Quantidade,TOTAL,
,,59,3.4,3.4,3.4,10.2,3.4,2,6.8
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,61,1.95,1.95,1.95,5.85,1.95,2,3.9
,,63,,,Total,Media,Quantidade,TOTAL,77.6
,,63,,,,,,,
