Produto,Tipo,0,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade	,TOTAL,TOTAL
,,1,15.99,15.99,15.99,47.97,15.99,3,47.97
FEIJÃO (1kg),marca,2,Codil,Agrominas,Total,Media,Quantidade	,TOTAL,
,,2,7.39,7.39,7.39,22.17,7.39,4,29.56
AÇÚCAR (5kg),marca,3,Delta,Bruçúcar,Total,Media,Quantidade	,TOTAL,
,,3,16.99,16.99,16.99,50.97,16.99,2,33.98
CAFÉ / em pó (500g),marca,4,3 Corações,Letícia,Total,Media,Quantidade	,TOTAL,
,,4,18.65,18.65,18.65,55.95,18.65,3,55.95
FARINHA DE TRIGO (1kg),marca,5,Globo,Dona Benta,Total,Media,Quantidade	,TOTAL,
,,5,6.1,6.1,6.1,18.3,6.1,3,18.3
FARINHA DE MAND. (1kg),marca,6,Pachá,Ama Fil,Total,Media,Quantidade	,TOTAL,
,,6,4.99,4.99,4.99,14.97,4.99,1,4.99
BATATA (1kg),marca,7,Batata Inglesa,xxxxxxx,Total,Media,Quantidade	,TOTAL,
,,7,3.19,,,3.19,3.19,4,12.76
CEBOLA (1kg),marca,8,Cebola,xxxxxxx,Total,Media,Quantidade	,TOTAL,
,,8,5.15,,,5.15,5.15,1,5.15
TOMATE (1kg),marca,9,Tomate,xxxxxxx,Total,Media,Quantidade	,TOTAL,
,,9,4.99,,,4.99,4.99,9,44.91
ALHO (1kg),marca,10,Alho,xxxxxxx,Total,Media,Quantidade	,TOTAL,
,,10,22.99,,,22.99,22.99,0.2,4.598
OVOS (1 Dz.),marca,11,Branco,Vermelho,Total,Media,Quantidade	,TOTAL,
,,11,10,10,,20,10,3,30
MARGARINA (250g),marca,12,Qualy,Doriana,Total,Media,Quantidade	,TOTAL,
,,12,6.39,6.39,6.39,19.17,6.39,4,25.56
EXTRATO DE TOMATE (340g),marca,13,Santa Amália,Quero,Total,Media,Quantidade	,TOTAL,
,,13,,,2.49,2.49,2.49,2,4.98
PÃO FRANCÊS (1kg),marca,14,Pão,xxxxxxx,Total,Media,Quantidade	,TOTAL,
,,14,12.49,,,12.49,12.49,6,74.94
FRUTA / BANANA (1kg),marca,15,Prata,Caturra,Total,Media,Quantidade	,TOTAL,
,,15,2.99,2.99,,5.98,2.99,7.5,22.425
ÓLEO DE SOJA (900ml),marca,16,ABC,Soya,Total,Media,Quantidade	,TOTAL,
,,16,9.75,9.75,9.75,29.25,9.75,5,48.75
LEITE (1L),marca,17,Itambé,Cemil,Total,Media,Quantidade	,TOTAL,
,,17,7.99,7.99,7.99,23.97,7.99,7.5,59.925
LEITE EM PÓ (450g),marca,18,Itambé,Nutril,Total,Media,Quantidade	,TOTAL,
,,18,23.59,23.59,23.59,70.77,23.59,3,70.77
MACARRÃO (pac. 500g),marca,19,Santa Amália,Yara,Total,Media,Quantidade	,TOTAL,
,,19,4.35,4.35,4.35,13.05,4.35,4,17.4
BISCOITO MAISENA (pac. 200g),marca,20,Mabel,Marilan,Total,Media,Quantidade	,TOTAL,
,,20,3.39,3.39,3.39,10.17,3.39,4,13.56
CARNE DE PRIMEIRA (1kg),marca,21,Contra-filé,Alcatra,Total,Media,Quantidade	,TOTAL,
,,21,39.99,39.99,39.99,119.97,39.99,3,119.97
CARNE DE SEGUNDA (1kg),marca,22,Acém,Costela,Total,Media,Quantidade	,TOTAL,
,,22,21.99,21.99,21.99,65.97,21.99,4,87.96
FRANGO RESFRIADO INT. (1kg),marca,23,Frial,Sadia,Total,Media,Quantidade	,TOTAL,
,,23,11.99,11.99,,23.98,11.99,5,59.95
SALSICHA AVULSA (1kg),marca,24,Frial,Sadia,Total,Media,Quantidade	,TOTAL,
,,24,12.85,12.85,12.85,38.55,12.85,0.5,6.425
LINGUIÇA TOSCANA FRESCA (1kg),marca,25,Frial,Sadia,Total,Media,Quantidade	,TOTAL,
,,25,18.15,18.15,18.15,54.45,18.15,0.3,5.445
QUEIJO MUSSARELA FAT. (1kg),marca,26,Saboroso ,Quero,Total,Media,Quantidade	,TOTAL,
,,26,65.99,65.99,65.99,197.97,65.99,0.5,32.995
,,Sub-Total,,,Total,Media,Quantidade	,TOTAL,939.223
,,Sub-Total,,,,,,,
SABÃO EM PÓ (500g),marca,27,Tixan Ypê,Brilhante,Total,Media,Quantidade	,TOTAL,
,,27,7.69,7.69,7.69,23.07,7.69,4,30.76
SABÃO EM BARRA (unid.),marca,28,Ypê,Minuano,Total,Media,Quantidade	,TOTAL,
,,28,3.19,3.19,,6.38,3.19,15,47.85
ÁGUA SANITÁRIA (1L),marca,29,Ypê,Tuff,Total,Media,Quantidade	,TOTAL,
,,29,3.99,3.99,3.99,11.97,3.99,2,7.98
DETERGENTE (500 ml),marca,30,Ypê,Minuano,Total,Media,Quantidade	,TOTAL,
,,30,1.79,1.79,1.79,5.37,1.79,2,3.58
,,Sub-Total,,,Total,Media,Quantidade	,TOTAL,90.17
,,Sub-Total,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,31,Paradiso,Valor,Total,Media,Quantidade	,TOTAL,
,,31,4.99,4.99,4.99,14.97,4.99,3,14.97
CREME DENTAL (tubo 90g),marca,32,Colgate,Sorriso,Total,Media,Quantidade	,TOTAL,
,,32,3.89,3.89,,7.78,3.89,2,7.78
SABONETE (90g),marca,33,Lux,Palmolive,Total,Media,Quantidade	,TOTAL,
,,33,1.59,1.59,,3.18,1.59,10,15.9
DESODORANTE SPRAY (100ml),marca,34,Rexona ,Monange ,Total,Media,Quantidade	,TOTAL,
,,34,11.49,11.49,,22.98,11.49,2,22.98
ABSORVENTE (pac. 8 unid.),marca,35,Sym,Intimus,Total,Media,Quantidade	,TOTAL,
,,35,,,,,,,
Valor Total,marca,,,,,Total,402.43,,1094.013
