Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,21.59,21.59,21.59,64.77,21.59,3,64.77
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,10.89,10.89,10.89,32.67,10.89,4,43.56
AÇÚCAR (5kg),marca,5,Delta,Cristal de Minas,Total,Media,Quantidade,TOTAL,
,,5,18.59,18.59,18.59,55.77,18.59,2,37.18
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,20.4,20.4,20.4,61.2,20.4,3,61.2
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,5.89,5.89,5.89,17.67,5.89,3,17.67
FARINHA DE MAND. (1kg),marca,11,Pachá,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,7,7,7,21,7,1,7
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,4.99,,,4.99,4.99,4,19.96
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,6.99,,,6.99,6.99,1,6.99
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,0,,,0,0,9,0
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,27.99,,,27.99,27.99,0.2,5.598
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,0,0,,0,0,3,0
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,6.49,6.49,6.49,19.47,6.49,4,25.96
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,
,,25,5.79,5.79,5.79,17.37,5.79,2,11.58
