Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,14.9,14.9,14.9,44.7,14.9,3,44.7
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,6.98,6.98,6.98,20.94,6.98,4,27.92
AÇÚCAR (5kg),marca,5,Cristal de minas ,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,16.48,16.48,16.48,49.44,16.48,2,32.96
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,17.8,17.8,17.8,53.4,17.8,3,53.4
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,5.68,5.68,5.68,17.04,5.68,3,17.04
FARINHA DE MAND. (1kg),marca,11,Xap,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,5.48,5.48,5.48,16.44,5.48,1,5.48
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,3.98,,,3.98,3.98,4,15.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,6.69,,,6.69,6.69,1,6.69
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,6.59,,,6.59,6.59,9,59.31
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,15.9,,,15.9,15.9,0.2,3.18
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,8.99,8.99,,17.98,8.99,3,26.97
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,4.48,4.48,4.48,13.44,4.48,4,17.92
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,
,,25,1.78,1.78,1.78,5.34,1.78,2,3.56
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,10.98,,,10.98,10.98,6,65.88
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,5.39,5.39,,10.78,5.39,7.5,40.425
ÓLEO DE SOJA (900ml),marca,31,ABC,Soya,Total,Media,Quantidade,TOTAL,
,,31,7.4,7.4,7.4,22.2,7.4,5,37
LEITE (1L),marca,33,BH,Cemil,Total,Media,Quantidade,TOTAL,
,,33,4.45,4.45,4.45,13.35,4.45,7.5,33.375
LEITE EM PÓ (450g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,17.8,17.8,17.8,53.4,17.8,3,53.4
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,4.5,4.5,4.5,13.5,4.5,4,18
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,2.75,2.75,2.75,8.25,2.75,4,11
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,
,,41,41.8,41.8,41.8,125.4,41.8,3,125.4
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,19.9,19.9,19.9,59.7,19.9,4,79.6
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,8.9,8.9,8.9,26.7,8.9,5,44.5
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,8.98,8.98,8.98,26.94,8.98,0.5,4.49
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Perdigão ,Sadia,Total,Media,Quantidade,TOTAL,
,,49,14.7,14.7,14.7,44.1,14.7,0.3,4.41
QUEIJO MUSSARELA FAT. (1kg),marca,51,Porto Alegre ,Quero,Total,Media,Quantidade,TOTAL,
,,51,39.8,39.8,39.8,119.4,39.8,0.5,19.9
,,53,,,Total,Media,Quantidade,TOTAL,852.43
,,53,,,,,,,
SABÃO EM PÓ (500g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,6.8,6.8,6.8,20.4,6.8,4,27.2
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,57,3.45,3.45,,6.9,3.45,15,51.75
ÁGUA SANITÁRIA (1L),marca,59,BH,Tuff,Total,Media,Quantidade,TOTAL,
,,59,2.8,2.8,2.8,8.4,2.8,2,5.6
DETERGENTE (500 ml),marca,61,BH,Minuano,Total,Media,Quantidade,TOTAL,
,,61,1.49,1.49,1.49,4.47,1.49,2,2.98
,,63,,,Total,Media,Quantidade,TOTAL,87.53
,,63,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,65,Floral,Valor,Total,Media,Quantidade,TOTAL,
,,65,3.8,3.8,3.8,11.4,3.8,3,11.4
CREME DENTAL (tubo 90g),marca,67,Colgate,Sorriso,Total,Media,Quantidade,TOTAL,
,,67,5.7,5.7,,11.4,5.7,2,11.4
SABONETE (90g),marca,69,Lux,Palmolive,Total,Media,Quantidade,TOTAL,
,,69,1.48,1.48,,2.96,1.48,10,14.8
DESODORANTE SPRAY (100ml),marca,71,Rexona ,Monange,Total,Media,Quantidade,TOTAL,
,,71,8.5,8.5,,17,8.5,2,17
ABSORVENTE (pac. 8 unid.),marca,73,Sym,Intimus,Total,Media,Quantidade,TOTAL,
,,73,,,,,,,
Valor Total,marca,78,,,,Total,340.59,,998.05
