Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Vasconcelos ,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,25.9,,28.8,54.7,27.35,3,82.05
FEIJÃO (1kg),marca,Codil,Agrominas,Vasconcelos,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,5.99,,5.98,11.97,5.985,4,23.94
AÇÚCAR (5kg),marca,Delta,Cristal de minas ,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,,17.9,,17.9,17.9,2,35.8
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Dona Íris ,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,15.98,14.98,,30.96,15.48,3,46.44
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,4.78,,4.78,9.56,4.78,3,14.34
FARINHA DE MAND. (1kg),marca,Pachá,xap,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,6.28,6.18,,12.46,6.23,1,6.23
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,4.98,,,4.98,4.98,4,19.92
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,2.79,,,2.79,2.79,1,2.79
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,7.98,,,7.98,7.98,9,71.82
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,21.98,,,21.98,21.98,0.2,4.396
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,11.98,,,11.98,11.98,3,35.94
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,4.98,3.89,,8.87,4.435,4,17.74
EXTRATO DE TOMATE (340g),marca,Santa Amália,Elefante ,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (340g),preço,,6.78,4.18,10.96,5.48,2,10.96
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,10.9,,,10.9,10.9,6,65.4
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,5.98,4.69,,10.67,5.335,7.5,40.0125
ÓLEO DE SOJA (900ml),marca,ABC,Liza,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,5.38,,,5.38,5.38,5,26.9
LEITE (1L),marca,Itambé,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,4.18,3.98,,8.16,4.08,7.5,30.6
LEITE EM PÓ (450g),marca,Itambé,Piracanjuba ,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (450g),preço,13.98,139.8,14.98,168.76,56.25333333,3,168.76
MACARRÃO (pac. 500g),marca,Santa Amália,Galo,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,4.3,,3.98,8.28,4.14,4,16.56
BISCOITO MAISENA (pac. 200g),marca,Bauducco ,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,2.48,2.28,2.75,7.51,2.503333333,4,10.01333333
CARNE DE PRIMEIRA (1kg),marca,Contra-filé,Alcatra,Chá de fora,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,39.9,,,39.9,39.9,3,119.7
