Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Martins,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,28.98,27.99,,56.97,28.485,3,85.455
FEIJÃO (1kg),marca,Codil,Agrominas,Dia Dinha,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,5.59,,,5.59,5.59,4,22.36
AÇÚCAR (5kg),marca,Delta,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,19.98,,,19.98,19.98,2,39.96
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,16.98,15.98,,32.96,16.48,3,49.44
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,6.89,6.89,6.89,20.67,6.89,3,20.67
FARINHA DE MAND. (1kg),marca,Pachá ,Milu,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,7.64,7.89,,15.53,7.765,1,7.765
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,4.98,,,4.98,4.98,4,19.92
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,4.98,,,4.98,4.98,1,4.98
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,5.98,,,5.98,5.98,9,53.82
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,22.98,,,22.98,22.98,0.2,4.596
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,8.18,,,8.18,8.18,3,24.54
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,4.98,,4.18,9.16,4.58,4,18.32
EXTRATO DE TOMATE (300g),marca,Fugini,Elefante ,Colonial ,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (300g),preço,,6.99,4.58,11.57,5.785,2,11.57
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,14.99,,,14.99,14.99,6,89.94
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,5.98,,,5.98,5.98,7.5,44.85
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,5.98,,,5.98,5.98,5,29.9
LEITE (1L),marca,Itambé,Cemil,Piracanjuba ,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,,4.79,4.49,9.28,4.64,7.5,34.8
LEITE EM PÓ (400g),marca,Itambé,Nutril,Piracanjuba,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (400g),preço,16.98,15.29,,32.27,16.135,3,48.405
MACARRÃO (pac. 500g),marca,Santa Amália,Yara,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,5.59,4.48,5.49,15.56,5.186666667,4,20.74666667
BISCOITO MAISENA (pac. 200g),marca,Bauducco ,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,,,3.39,3.39,3.39,4,13.56
CARNE DE PRIMEIRA (1kg),marca,Contra-filé,Alcatra,Coxão Mole,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,39.98,39.98,,79.96,39.98,3,119.94
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,33.98,19.98,,53.96,26.98,4,107.92
FRANGO RESFRIADO INT. (1kg),marca,Frial,Sadia,ferreira,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,9.98,,,9.98,9.98,5,49.9
SALSICHA AVULSA (1kg),marca,Friall,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,10.39,13.89,,24.28,12.14,0.5,6.07
LINGUIÇA TOSCANA FRESCA (1kg),marca,Pifpaf,Sadia,Premiada ,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,,,17.98,17.98,17.98,0.3,5.394
QUEIJO MUSSARELA FAT. (1kg),marca,Saboroso,Vida,Vista Alegre,Total,Media,Quantidade	,TOTAL
QUEIJO MUSSARELA FAT. (1kg),preço,,41.68,,41.68,41.68,0.5,20.84
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
SABÃO EM PÓ (400g),marca,Tixan Ypê,Brilhante,OMO,Total,Media,Quantidade	,TOTAL
SABÃO EM PÓ (400g),preço,6.89,6.89,,13.78,6.89,4,27.56
SABÃO EM BARRA (unid.),marca,Minuano ,Ypê ,xxxxxxx,Total,Media,Quantidade	,TOTAL
SABÃO EM BARRA (unid.),preço,3.79,,,3.79,3.79,15,56.85
ÁGUA SANITÁRIA (1L),marca,Ypê,Tuff,Qboa,Total,Media,Quantidade	,TOTAL
ÁGUA SANITÁRIA (1L),preço,4.78,3.09,4.49,12.36,4.12,2,8.24
DETERGENTE (500 ml),marca,Ypê,Azulim,Muniano,Total,Media,Quantidade	,TOTAL
DETERGENTE (500 ml),preço,2.89,,2.59,5.48,2.74,2,5.48
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,Paradiso,Mili,Personal,Total,Media,Quantidade	,TOTAL
PAPEL HIGIÊNICO (pac. 4 unid.),preço,4.19,6.98,,11.17,5.585,3,16.755
CREME DENTAL (tubo 90g),marca,Colgate,Sorriso,Closeup ,Total,Media,Quantidade	,TOTAL
CREME DENTAL (tubo 90g),preço,5.68,4.98,5.18,15.84,5.28,2,10.56
SABONETE (90g),marca,Lux,Palmolive,Albany,Total,Media,Quantidade	,TOTAL
SABONETE (90g),preço,2.65,2.89,2.19,7.73,2.576666667,10,25.76666667
DESODORANTE SPRAY (100ml),marca,Nivea,Monange (Fem.,xxxxxxx,Total,Media,Quantidade	,TOTAL
DESODORANTE SPRAY (100ml),preço,17.38,12.39,,29.77,14.885,2,29.77
ABSORVENTE (pac. 8 unid.),marca,Sym,Sempre livre,xxxxxxx,Total,Media,Quantidade	,TOTAL
ABSORVENTE (pac. 8 unid.),preço,,,,,,,
Valor Total,marca,,,,Total,398.6483333,,1141.728333
