Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,BH,Codisul,Sepé,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,"R$ 19,80","R$ 23,80","R$ 23,80","R$ 67,40","R$ 22,47",3,"R$ 67,40"
FEIJÃO (1kg),marca,Carioca,Agrominas,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,"R$ 4,79","R$ 5,99","R$ 5,99","R$ 16,77","R$ 5,59",4,"R$ 22,36"
AÇÚCAR (5kg),marca,Delta,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,"R$ 16,99","R$ 16,99","R$ 16,99","R$ 50,97","R$ 16,99",2,"R$ 33,98"
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,"R$ 15,98","R$ 15,98","R$ 15,98","R$ 47,94","R$ 15,98",3,"R$ 47,94"
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,"R$ 5,99","R$ 5,80","R$ 5,99","R$ 17,78","R$ 5,93",3,"R$ 17,78"
FARINHA DE MAND. (1kg),marca,Xap,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,"R$ 7,89","R$ 7,89","R$ 7,89","R$ 23,67","R$ 7,89",1,"R$ 7,89"
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,"R$ 5,99",,,"R$ 5,99","R$ 5,99",4,"R$ 23,96"
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,"R$ 3,99",,,"R$ 3,99","R$ 3,99",1,"R$ 3,99"
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,"R$ 7,98",,,"R$ 7,98","R$ 7,98",9,"R$ 71,82"
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,"R$ 25,99",,,"R$ 25,99","R$ 25,99",0.2,"R$ 5,20"
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,"R$ 11,89","R$ 12,89",,"R$ 24,78","R$ 12,39",3,"R$ 37,17"
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,"R$ 3,89","R$ 4,99","R$ 4,99","R$ 13,87","R$ 4,62",4,"R$ 18,49"
EXTRATO DE TOMATE (340g),marca,Fugini,Quero,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (340g),preço,"R$ 1,58","R$ 1,58","R$ 1,58","R$ 4,74","R$ 1,58",2,"R$ 3,16"
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,"R$ 14,00",,,"R$ 14,00","R$ 14,00",6,"R$ 84,00"
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,"R$ 5,98","R$ 4,69",,"R$ 10,67","R$ 5,34",7.5,"R$ 40,01"
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,"R$ 4,99","R$ 4,99","R$ 4,99","R$ 14,97","R$ 4,99",5,"R$ 24,95"
LEITE (1L),marca,Itambé,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,"R$ 4,89","R$ 4,89","R$ 4,89","R$ 14,67","R$ 4,89",7.5,"R$ 36,68"
LEITE EM PÓ (450g),marca,Itambé,Nutril,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (450g),preço,"R$ 18,00","R$ 18,00","R$ 18,00","R$ 54,00","R$ 18,00",3,"R$ 54,00"
MACARRÃO (pac. 500g),marca,Santa Amália,Yara,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,"R$ 4,50","R$ 3,89","R$ 3,89","R$ 12,28","R$ 4,09",4,"R$ 16,37"
BISCOITO MAISENA (pac. 200g),marca,Mabel,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,"R$ 2,99","R$ 2,99","R$ 2,99","R$ 8,97","R$ 2,99",4,"R$ 11,96"
CARNE DE PRIMEIRA (1kg),marca,Contra-filé,Alcatra,Coxão Mole,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,"R$ 39,90","R$ 33,98","R$ 36,99","R$ 110,87","R$ 36,96",3,"R$ 110,87"
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,,"R$ 19,99","R$ 34,99","R$ 54,98","R$ 27,49",4,"R$ 109,96"
FRANGO RESFRIADO INT. (1kg),marca,Frial,Sadia,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,"R$ 11,00","R$ 10,99",,"R$ 21,99","R$ 11,00",5,"R$ 54,98"
SALSICHA AVULSA (1kg),marca,Frial,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,"R$ 11,00","R$ 10,99","R$ 10,99","R$ 32,98","R$ 10,99",0.5,"R$ 5,50"
LINGUIÇA TOSCANA FRESCA (1kg),marca,Frial,Sadia,Saudali,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,"R$ 15,99","R$ 15,99","R$ 15,99","R$ 47,97","R$ 15,99",0.3,"R$ 4,80"
