Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Martins,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,26.99,26.99,,53.98,26.99,3,80.97
FEIJÃO (1kg),marca,Codil,Da Dinha ,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,5.79,5.75,,11.54,5.77,4,23.08
AÇÚCAR (5kg),marca,Delta,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,17.98,,,17.98,17.98,2,35.96
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,16.98,15.98,,32.96,16.48,3,49.44
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,6.49,,6.49,12.98,6.49,3,19.47
FARINHA DE MAND. (1kg),marca,Pachá,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,5.69,,8.99,14.68,7.34,1,7.34
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,4.99,,,4.99,4.99,4,19.96
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,5.49,,,5.49,5.49,1,5.49
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,10.49,,,10.49,10.49,9,94.41
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,16.99,,,16.99,16.99,0.2,3.398
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,8.69,9.36,,18.05,9.025,3,27.075
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,5.29,,5.29,10.58,5.29,4,21.16
EXTRATO DE TOMATE (300g),marca,Santa Amália,Elefante ,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (300g),preço,,7.49,4.65,12.14,6.07,2,12.14
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,14.99,,,14.99,14.99,6,89.94
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,5.69,3.3,,8.99,4.495,7.5,33.7125
ÓLEO DE SOJA (900ml),marca,ABC,Liza,Concordia,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,5.39,,,5.39,5.39,5,26.95
LEITE (1L),marca,Itambé,Cemil,Piracanjuba ,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,4.79,4.38,,9.17,4.585,7.5,34.3875
LEITE EM PÓ (400g),marca,Itambé,Nutril,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (400g),preço,17.99,15.99,,33.98,16.99,3,50.97
MACARRÃO (pac. 500g),marca,Santa Amália,Yara,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,4.79,3.49,5.15,13.43,4.476666667,4,17.90666667
BISCOITO MAISENA (pac. 200g),marca,Bauducco ,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,3.19,2.99,2.89,9.07,3.023333333,4,12.09333333
CARNE DE PRIMEIRA (1kg),marca,Alcatra ,Patinho,Coxão Mole,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,39.99,36.99,,76.98,38.49,3,115.47
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,28.99,19.99,,48.98,24.49,4,97.96
FRANGO RESFRIADO INT. (1kg),marca,Frial,Sadia,Sem marca,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,10.49,,,10.49,10.49,5,52.45
SALSICHA AVULSA (1kg),marca,Frial,Sadia,Perdigão,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,9.7,11.49,,21.19,10.595,0.5,5.2975
