Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Sepé,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,27.9,"$27,90","$28,50","R$ 0,00",,3,
FEIJÃO (1kg),marca,Codil,Agrominas,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,"$5,60","$5,60","$5,60","R$ 0,00",,4,
AÇÚCAR (5kg),marca,cristal,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,18.99,18.99,18.99,"R$ 0,00",,2,
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,16.99,16.99,16.99,"R$ 0,00",,3,
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,5.59,5.75,5.75,"R$ 0,00",,3,
FARINHA DE MAND. (1kg),marca,gostos,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,5.5,5.5,5.5,"R$ 0,00",,1,
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,6.99,,,"R$ 0,00",,4,
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,6.99,,,"R$ 0,00",,1,
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,7.99,,,"R$ 0,00",,9,
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,34.99,,,"R$ 0,00",,0.2,
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,9.29,10.29,,"R$ 0,00",,3,
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,5.49,5.49,5.49,"R$ 0,00",,4,
EXTRATO DE TOMATE (340g),marca,Santa Amália,Quero,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (340g),preço,2.99,2.99,2.99,"R$ 0,00",,2,
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,14,,,"R$ 0,00",,6,
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,4.8,3.99,,"R$ 0,00",,7.5,
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL
