Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,30.5,32,30.5,93,31,3,93
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,6.89,6.89,6.89,20.67,6.89,4,27.56
AÇÚCAR (5kg),marca,5,cristal,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,17.89,17.89,17.89,53.67,17.89,2,35.78
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,16.89,16.89,16.89,50.67,16.89,3,50.67
FARINHA DE TRIGO (1kg),marca,9,Globo ,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,5.38,5.3,5.3,15.98,5.326666667,3,15.98
FARINHA DE MAND. (1kg),marca,11,gostosao,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,8.89,8.89,8.89,26.67,8.89,1,8.89
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,6.99,,,6.99,6.99,4,27.96
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,6.99,,,6.99,6.99,1,6.99
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,8.89,,,8.89,8.89,9,80.01
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,28,,,28,28,0.2,5.6
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,9.2,9.2,,18.4,9.2,3,27.6
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,5.3,5.3,5.38,15.98,5.326666667,4,21.30666667
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Quero,Total,Media,Quantidade,TOTAL,
,,25,1.89,1.89,1.89,5.67,1.89,2,3.78
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,14,,,14,14,6,84
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,4.7,4.7,,9.4,4.7,7.5,35.25
ÓLEO DE SOJA (900ml),marca,31,ABC,Soya,Total,Media,Quantidade,TOTAL,
,,31,6.99,6.99,6.99,20.97,6.99,5,34.95
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,4.2,4.2,4.8,13.2,4.4,7.5,33
LEITE EM PÓ (450g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,20.89,21,20.89,62.78,20.92666667,3,62.78
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,4.3,4.3,4.3,12.9,4.3,4,17.2
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,3.25,3.25,3.25,9.75,3.25,4,13
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,
,,41,42,42,39.99,123.99,41.33,3,123.99
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,42,19.99,33.89,95.88,31.96,4,127.84
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,8.99,8.99,,17.98,8.99,5,44.95
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,12.3,12.3,12.38,36.98,12.32666667,0.5,6.163333333
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Perdigão ,Sadia,Total,Media,Quantidade,TOTAL,
,,49,16,16,16,48,16,0.3,4.8
QUEIJO MUSSARELA FAT. (1kg),marca,51,Saboroso,Quero,Total,Media,Quantidade,TOTAL,
,,51,49,52,52,153,51,0.5,25.5
,,53,,,Total,Media,Quantidade,TOTAL,1018.55
,,53,,,,,,,
SABÃO EM PÓ (500g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,6.4,6.4,6.4,19.2,6.4,4,25.6
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,57,3.1,3.1,,6.2,3.1,15,46.5
ÁGUA SANITÁRIA (1L),marca,59,Super globo,Tuff,Total,Media,Quantidade,TOTAL,
,,59,3.99,3.99,3.99,11.97,3.99,2,7.98
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,61,2.6,2.6,2.6,7.8,2.6,2,5.2
,,63,,,Total,Media,Quantidade,TOTAL,85.28
,,63,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,65,Paradiso,Valor,Total,Media,Quantidade,TOTAL,
,,65,5.5,5.5,5.5,16.5,5.5,3,16.5
CREME DENTAL (tubo 90g),marca,67,Colgate,Sorriso,Total,Media,Quantidade,TOTAL,
,,67,4.89,4.89,,9.78,4.89,2,9.78
SABONETE (90g),marca,69,Lux,Palmolive,Total,Media,Quantidade,TOTAL,
,,69,2.99,3.2,,6.19,3.095,10,30.95
DESODORANTE SPRAY (100ml),marca,71,Rexona (Masc.),Monange (Fem.),Total,Media,Quantidade,TOTAL,
,,71,17.99,12.5,,30.49,15.245,2,30.49
ABSORVENTE (pac. 8 unid.),marca,73,Sym,Intimus,Total,Media,Quantidade,TOTAL,
,,73,,,,,,,
Valor Total,marca,78,,,,Total,422.9166667,,1195.3
