Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Sepé,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,30.9,30.99,29.9,91.79,30.59666667,3,91.79
FEIJÃO (1kg),marca,Codil,Agrominas,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,7.99,7.99,7.99,23.97,7.99,4,31.96
AÇÚCAR (5kg),marca,Delta,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,18.99,18.99,18.99,56.97,18.99,2,37.98
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,16,16,16,48,16,3,48
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,5.99,5.99,2.99,14.97,4.99,3,14.97
FARINHA DE MAND. (1kg),marca,Pachá,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,8.9,8.9,8.9,26.7,8.9,1,8.9
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,8.99,,,8.99,8.99,4,35.96
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,6,,,6,6,1,6
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,8.99,,,8.99,8.99,9,80.91
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,19.99,,,19.99,19.99,0.2,3.998
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,9,9,,18,9,3,27
