Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Martins,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,17.28,17.28,17.28,51.84,17.28,3,51.84
FEIJÃO (1kg),marca,Codil,Agrominas,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,8.99,8.99,8.99,26.97,8.99,4,35.96
AÇÚCAR (5kg),marca,Delta,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,16.69,16.69,16.69,50.07,16.69,2,33.38
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,17.99,17.99,17.99,53.97,17.99,3,53.97
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,5.98,5.98,5.98,17.94,5.98,3,17.94
FARINHA DE MAND. (1kg),marca,Lopes,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,8.39,8.39,8.39,25.17,8.39,1,8.39
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,0,,,0,0,4,0
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,6.49,,,6.49,6.49,1,6.49
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,10.59,,,10.59,10.59,9,95.31
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,14.99,,,14.99,14.99,0.2,2.998
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,8.39,8.39,,16.78,8.39,3,25.17
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,4.99,4.99,4.99,14.97,4.99,4,19.96
EXTRATO DE TOMATE (300g),marca,Santa Amália,Quero,Colonial ,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (300g),preço,4.49,4.49,4.49,13.47,4.49,2,8.98
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,13.49,,,13.49,13.49,6,80.94
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,7.78,7.78,,15.56,7.78,7.5,58.35
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,7.98,7.98,7.98,23.94,7.98,5,39.9
LEITE (1L),marca,Itambé,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,4.69,4.69,4.69,14.07,4.69,7.5,35.175
LEITE EM PÓ (400g),marca,Itambé,Nutril,Serra branca ,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (400g),preço,18.69,18.69,18.69,56.07,18.69,3,56.07
MACARRÃO (pac. 500g),marca,Santa Amália,Yara,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,3.29,3.29,3.29,9.87,3.29,4,13.16
BISCOITO MAISENA (pac. 200g),marca,Mabel,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,2.98,2.98,2.98,8.94,2.98,4,11.92
CARNE DE PRIMEIRA (1kg),marca,Contra-filé,Alcatra,Coxão Mole,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,45.99,45.99,45.99,137.97,45.99,3,137.97
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,35.99,35.99,35.99,107.97,35.99,4,143.96
FRANGO RESFRIADO INT. (1kg),marca,Frial,Sadia,ferreira,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,10.99,10.99,10.99,32.97,10.99,5,54.95
SALSICHA AVULSA (1kg),marca,Friall,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,9.99,9.99,9.99,29.97,9.99,0.5,4.995
LINGUIÇA TOSCANA FRESCA (1kg),marca,Pifpaf,Sadia,Premiada ,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,16.5,16.5,16.5,49.5,16.5,0.3,4.95
QUEIJO MUSSARELA FAT. (1kg),marca,Saboroso,Quero,Vista Alegre,Total,Media,Quantidade	,TOTAL
QUEIJO MUSSARELA FAT. (1kg),preço,42.99,42.99,42.99,128.97,42.99,0.5,21.495
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
SABÃO EM PÓ (400g),marca,Tixan Ypê,Brilhante,OMO,Total,Media,Quantidade	,TOTAL
SABÃO EM PÓ (400g),preço,6.39,6.39,6.39,19.17,6.39,4,25.56
SABÃO EM BARRA (unid.),marca,Razzo,Ypê ,xxxxxxx,Total,Media,Quantidade	,TOTAL
SABÃO EM BARRA (unid.),preço,3.59,3.59,,7.18,3.59,15,53.85
ÁGUA SANITÁRIA (1L),marca,Ypê,Tuff,Santa Clara ,Total,Media,Quantidade	,TOTAL
ÁGUA SANITÁRIA (1L),preço,3.19,3.19,3.19,9.57,3.19,2,6.38
DETERGENTE (500 ml),marca,Ypê,Uzzilim,Limpol,Total,Media,Quantidade	,TOTAL
DETERGENTE (500 ml),preço,2.59,2.59,2.59,7.77,2.59,2,5.18
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,Paradiso,Mili,Personal,Total,Media,Quantidade	,TOTAL
PAPEL HIGIÊNICO (pac. 4 unid.),preço,3.99,3.99,3.99,11.97,3.99,3,11.97
CREME DENTAL (tubo 90g),marca,Colgate,Sorriso,Closeup ,Total,Media,Quantidade	,TOTAL
CREME DENTAL (tubo 90g),preço,5.99,5.99,5.99,17.97,5.99,2,11.98
SABONETE (90g),marca,Lux,Palmolive,Albany,Total,Media,Quantidade	,TOTAL
SABONETE (90g),preço,3.19,3.19,3.19,9.57,3.19,10,31.9
DESODORANTE SPRAY (100ml),marca,Rexona,Monange ,xxxxxxx,Total,Media,Quantidade	,TOTAL
DESODORANTE SPRAY (100ml),preço,11.49,11.49,,22.98,11.49,2,22.98
ABSORVENTE (pac. 8 unid.),marca,Sym,Intimus,xxxxxxx,Total,Media,Quantidade	,TOTAL
ABSORVENTE (pac. 8 unid.),preço,,,,,,,
Valor Total,marca,,,,Total,390.72,,1197.713
