Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Alegrete ,Codisul,Patosul,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,19.9,22.9,19.9,62.7,20.9,3,62.7
FEIJÃO (1kg),marca,Carioca,Agrominas,Vasconcelos ,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,8.9,8.99,8.99,26.88,8.96,4,35.84
AÇÚCAR (5kg),marca,Delta,Cristal,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,16,16.48,,32.48,16.24,2,32.48
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Norte de Minas,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,8.4,7.99,7.99,24.38,8.126666667,3,24.38
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,0,5.99,6.28,12.27,4.09,3,12.27
FARINHA DE MAND. (1kg),marca,Xap,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,7.8,0,0,7.8,2.6,1,2.6
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,3.98,,,3.98,3.98,4,15.92
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,3.98,,,3.98,3.98,1,3.98
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,6.98,,,6.98,6.98,9,62.82
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,12.9,,,12.9,12.9,0.2,2.58
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,16.9,26.9,,43.8,21.9,3,65.7
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,5.49,4.79,4.48,14.76,4.92,4,19.68
EXTRATO DE TOMATE (340g),marca,Fugini,Quero,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (340g),preço,3.28,0,0,3.28,1.093333333,2,2.186666667
