Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,25.38,23.38,17.99,66.75,22.25,3,66.75
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,8.39,8.39,8.98,25.76,8.586666667,4,34.34666667
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,17.68,17.68,17.68,53.04,17.68,2,35.36
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,17.99,17.99,17.65,53.63,17.87666667,3,53.63
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,7.18,7.18,7.28,21.64,7.213333333,3,21.64
FARINHA DE MAND. (1kg),marca,11,Pachá,7.28,Total,Media,Quantidade,TOTAL,
,,11,7.28,7.28,7.28,21.84,7.28,1,7.28
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,5.98,,,5.98,5.98,4,23.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,4.98,,,4.98,4.98,1,4.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,5.98,,,5.98,5.98,9,53.82
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,19.98,,,19.98,19.98,0.2,3.996
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,8.98,,,8.98,8.98,3,26.94
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,4.89,4.89,4.89,14.67,4.89,4,19.56
EXTRATO DE TOMATE (300g),marca,25,Fugini,Elefante ,Total,Media,Quantidade,TOTAL,
,,25,2.59,6.99,4.18,13.76,4.586666667,2,9.173333333
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,13.38,,,13.38,13.38,6,80.28
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,4.98,4.98,,9.96,4.98,7.5,37.35
ÓLEO DE SOJA (900ml),marca,31,ABC,Vitaliv,Total,Media,Quantidade,TOTAL,
,,31,8.99,8.99,8.99,26.97,8.99,5,44.95
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,5.99,5.35,5.35,16.69,5.563333333,7.5,41.725
LEITE EM PÓ (400g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,17.98,16.19,16.19,50.36,16.78666667,3,50.36
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,5.59,4.48,5.49,15.56,5.186666667,4,20.74666667
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,3.18,3.18,3.18,9.54,3.18,4,12.72
CARNE DE PRIMEIRA (1kg),marca,41,Alcatra ,Patinho,Total,Media,Quantidade,TOTAL,
,,41,42.98,42.98,42.98,128.94,42.98,3,128.94
CARNE DE SEGUNDA (1kg),marca,43,Acém,Maçã do peito,Total,Media,Quantidade,TOTAL,
,,43,31.98,31.98,31.98,95.94,31.98,4,127.92
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,11.98,11.98,11.98,35.94,11.98,5,59.9
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,10.38,10.38,10.38,31.14,10.38,0.5,5.19
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,49,17.98,17.98,17.98,53.94,17.98,0.3,5.394
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,
,,51,47.38,47.38,47.38,142.14,47.38,0.5,23.69
,,53,,,Total,Media,Quantidade,TOTAL,1000.561667
,,53,,,,,,,
SABÃO EM PÓ (400g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,7.39,7.39,7.39,22.17,7.39,4,29.56
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,57,3.39,3.39,,6.78,3.39,15,50.85
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Tuff,Total,Media,Quantidade,TOTAL,
,,59,5.18,3.78,3.68,12.64,4.213333333,2,8.426666667
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,61,2.68,2.68,2.68,8.04,2.68,2,5.36
,,63,,,Total,Media,Quantidade,TOTAL,94.19666667
,,63,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,65,Paradiso,Valor,Total,Media,Quantidade,TOTAL,
,,65,6.89,6.98,6.98,20.85,6.95,3,20.85
CREME DENTAL (tubo 90g),marca,67,Colgate,Sorriso,Total,Media,Quantidade,TOTAL,
,,67,2.99,2.99,2.98,8.96,2.986666667,2,5.973333333
SABONETE (90g),marca,69,Lux,Palmolive,Total,Media,Quantidade,TOTAL,
,,69,2.99,2.99,,5.98,2.99,10,29.9
DESODORANTE SPRAY (100ml),marca,71,Rexona ,Monange,Total,Media,Quantidade,TOTAL,
,,71,15.68,15.68,15.59,46.95,15.65,2,31.3
ABSORVENTE (pac. 8 unid.),marca,73,Sym,Intimus,Total,Media,Quantidade,TOTAL,
,,73,,,,,,,
Valor Total,marca,78,,,,Total,406.94,,1186.461667
