Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Martins ,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,22.9,20.98,18.15,62.03,20.67666667,3,62.03
FEIJÃO (1kg),marca,Codil,Agrominas,Ducampo,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,7.98,7.59,7.9,23.47,7.823333333,4,31.29333333
AÇÚCAR (5kg),marca,Delta,Bruçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,16.48,,,16.48,16.48,2,32.96
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Dona Íris ,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,,17.98,18.98,36.96,18.48,3,55.44
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,7.05,6.99,6.99,21.03,7.01,3,21.03
FARINHA DE MAND. (1kg),marca,Lopes,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,7.5,7.5,7.5,22.5,7.5,1,7.5
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,5.95,,,5.95,5.95,4,23.8
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,3.69,,,3.69,3.69,1,3.69
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,7.99,,,7.99,7.99,9,71.91
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,11.99,,,11.99,11.99,0.2,2.398
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,8.59,8.59,,17.18,8.59,3,25.77
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,5.69,5.69,5.69,17.07,5.69,4,22.76
EXTRATO DE TOMATE (350g),marca,Santa Amália,Palistinha ,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (350g),preço,1.98,1.98,1.98,5.94,1.98,2,3.96
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,12.99,,,12.99,12.99,6,77.94
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,2.5,2.5,,5,2.5,7.5,18.75
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,7.58,7.58,7.58,22.74,7.58,5,37.9
LEITE (1L),marca,Vida,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,4.09,5.49,5.49,15.07,5.023333333,7.5,37.675
LEITE EM PÓ (400g),marca,Itambé,Nutril,Aurora,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (400g),preço,29.99,19.99,19.99,69.97,23.32333333,3,69.97
MACARRÃO (pac. 500g),marca,Santa Amália,Yara,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,6.99,6.99,6.79,20.77,6.923333333,4,27.69333333
BISCOITO MAISENA (pac. 200g),marca,Mabel,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,3.85,3.85,3.85,11.55,3.85,4,15.4
CARNE DE PRIMEIRA (1kg),marca,Contra-filé,Alcatra,Coxão Mole,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,0,0,0,0,0,3,0
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,24.9,24.9,24.9,74.7,24.9,4,99.6
FRANGO RESFRIADO INT. (1kg),marca,Frial,Sadia,Real,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,15,15,15,45,15,5,75
SALSICHA AVULSA (1kg),marca,Frial,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,9.79,9.79,9.79,29.37,9.79,0.5,4.895
LINGUIÇA TOSCANA FRESCA (1kg),marca,Frial,Sadia,Suinco,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,19.99,19.99,19.99,59.97,19.99,0.3,5.997
QUEIJO MUSSARELA FAT. (1kg),marca,Copatos,Quero,Vista Alegre,Total,Media,Quantidade	,TOTAL
QUEIJO MUSSARELA FAT. (1kg),preço,0,0,0,0,0,0.5,0
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
SABÃO EM PÓ (400g),marca,Tixan Ypê,Brilhante,OMO,Total,Media,Quantidade	,TOTAL
SABÃO EM PÓ (400g),preço,10.39,10.39,10.39,31.17,10.39,4,41.56
