Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,21.79,21.79,21.79,65.37,21.79,3,65.37
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,10.79,8.98,8.98,28.75,9.583333333,4,38.33333333
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,16.68,16.68,16.68,50.04,16.68,2,33.36
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,17.99,16.99,16.58,51.56,17.18666667,3,51.56
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,5.99,5.99,5.99,17.97,5.99,3,17.97
FARINHA DE MAND. (1kg),marca,11,Lopes,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,8.39,8.39,8.39,25.17,8.39,1,8.39
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,4.99,,,4.99,4.99,4,19.96
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,4.49,,,4.49,4.49,1,4.49
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,7.19,,,7.19,7.19,9,64.71
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,16.99,,,16.99,16.99,0.2,3.398
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,9.19,,,9.19,9.19,3,27.57
MARGARINA (250g),marca,23,Qualy,Claybom ,Total,Media,Quantidade,TOTAL,
,,23,5.69,3.98,4.39,14.06,4.686666667,4,18.74666667
EXTRATO DE TOMATE (300g),marca,25,Fugini ,Elefante ,Total,Media,Quantidade,TOTAL,
,,25,2.69,5.59,3.09,11.37,3.79,2,7.58
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,13.99,,,13.99,13.99,6,83.94
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,4.99,3.3,,8.29,4.145,7.5,31.0875
ÓLEO DE SOJA (900ml),marca,31,ABC,Liza,Total,Media,Quantidade,TOTAL,
,,31,7.19,7.88,,15.07,7.535,5,37.675
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,5.99,4.99,5.29,16.27,5.423333333,7.5,40.675
LEITE EM PÓ (400g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,18.69,18.69,13.99,51.37,17.12333333,3,51.37
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
