Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,22.9,21.9,21.9,66.7,22.23333333,3,66.7
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,9.9,8.8,8.8,27.5,9.166666667,4,36.66666667
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,17.98,17.98,17.98,53.94,17.98,2,35.96
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,17.99,17.98,17.98,53.95,17.98333333,3,53.95
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,7.05,7.05,8.85,22.95,7.65,3,22.95
FARINHA DE MAND. (1kg),marca,11,Lopes,Ama Fil,Total,Media,Quantidade,TOTAL,
,,11,7.5,7.5,7.5,22.5,7.5,1,7.5
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,5.99,,,5.99,5.99,4,23.96
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,3.19,,,3.19,3.19,1,3.19
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,7.99,,,7.99,7.99,9,71.91
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,14.99,,,14.99,14.99,0.2,2.998
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,9.45,9.45,,18.9,9.45,3,28.35
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,5.69,5.69,5.69,17.07,5.69,4,22.76
EXTRATO DE TOMATE (350g),marca,25,Santa Amália,Elefante ,Total,Media,Quantidade,TOTAL,
,,25,2.99,2.99,5.99,11.97,3.99,2,7.98
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,12.99,,,12.99,12.99,6,77.94
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,2.69,2.69,,5.38,2.69,7.5,20.175
ÓLEO DE SOJA (900ml),marca,31,ABC,Soya,Total,Media,Quantidade,TOTAL,
,,31,6.3,6.3,6.3,18.9,6.3,5,31.5
LEITE (1L),marca,33,Italac,Cemil,Total,Media,Quantidade,TOTAL,
,,33,5.58,5.58,5.58,16.74,5.58,7.5,41.85
LEITE EM PÓ (400g),marca,35,Itambé,Nutril,Total,Media,Quantidade,TOTAL,
,,35,29.99,19.99,19.99,69.97,23.32333333,3,69.97
MACARRÃO (pac. 500g),marca,37,Santa Amália,Yara,Total,Media,Quantidade,TOTAL,
,,37,6.99,4.25,4.25,15.49,5.163333333,4,20.65333333
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,4.19,4.19,4.19,12.57,4.19,4,16.76
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,
,,41,0,0,0,0,0,3,0
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,0,0,0,0,0,4,0
FRANGO RESFRIADO INT. (1kg),marca,45,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,45,15.7,15.7,15.7,47.1,15.7,5,78.5
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,12.99,12.99,12.99,38.97,12.99,0.5,6.495
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,49,15.99,15.99,15.99,47.97,15.99,0.3,4.797
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,
,,51,0,0,0,0,0,0.5,0
,,53,,,Total,Media,Quantidade,TOTAL,753.515
,,53,,,,,,,
SABÃO EM PÓ (400g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,10.39,10.39,10.39,31.17,10.39,4,41.56
SABÃO EM BARRA (unid.),marca,57,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,57,5.39,4.59,,9.98,4.99,15,74.85
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Ultra mais ,Total,Media,Quantidade,TOTAL,
,,59,8.25,3.99,3.99,16.23,5.41,2,10.82
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,61,2.69,3.75,3.75,10.19,3.396666667,2,6.793333333
,,63,,,Total,Media,Quantidade,TOTAL,134.0233333
,,63,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,65,Mili Bianco ,Plus,Total,Media,Quantidade,TOTAL,
,,65,7.39,6.39,6.39,20.17,6.723333333,3,20.17
CREME DENTAL (tubo 90g),marca,67,Colgate,Sorriso,Total,Media,Quantidade,TOTAL,
,,67,7.49,4.79,,12.28,6.14,2,12.28
SABONETE (90g),marca,69,Lux,Palmolive,Total,Media,Quantidade,TOTAL,
,,69,4.69,4.69,3.39,12.77,4.256666667,10,42.56666667
DESODORANTE SPRAY (100ml),marca,71,Rexona ,Monange ,Total,Media,Quantidade,TOTAL,
,,71,22.99,15.99,,38.98,19.49,2,38.98
ABSORVENTE (pac. 8 unid.),marca,73,Sym,Intimus,Total,Media,Quantidade,TOTAL,
,,73,,,,,,,
Valor Total,marca,78,,,,Total,306.1166667,,1008.135
