Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,21.78,19.98,22.48,64.24,21.41333333,3,64.24
FEIJÃO (1kg),marca,3,Codil,Agrominas,Total,Media,Quantidade,TOTAL,
,,3,7.98,7.98,7.4,23.36,7.786666667,4,31.14666667
AÇÚCAR (5kg),marca,5,Delta,Cristal de minas ,Total,Media,Quantidade,TOTAL,
,,5,17.98,17.98,17.98,53.94,17.98,2,35.96
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,15.98,14.98,14.98,45.94,15.31333333,3,45.94
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,5.3,5.3,5.68,16.28,5.426666667,3,16.28
FARINHA DE MAND. (1kg),marca,11,Pachá,xap,Total,Media,Quantidade,TOTAL,
,,11,6.5,5.78,6.5,18.78,6.26,1,6.26
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,4.98,,,4.98,4.98,4,19.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,3.98,,,3.98,3.98,1,3.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,7.98,,,7.98,7.98,9,71.82
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,19.9,,,19.9,19.9,0.2,3.98
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,12.9,12.9,,25.8,12.9,3,38.7
MARGARINA (250g),marca,23,Qualy,Doriana,Total,Media,Quantidade,TOTAL,
,,23,5.59,5.59,4.28,15.46,5.153333333,4,20.61333333
EXTRATO DE TOMATE (340g),marca,25,Santa Amália,Elefante ,Total,Media,Quantidade,TOTAL,
,,25,5.98,5.98,5.98,17.94,5.98,2,11.96
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,10.98,,,10.98,10.98,6,65.88
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,5.98,3.69,,9.67,4.835,7.5,36.2625
ÓLEO DE SOJA (900ml),marca,31,Velereiro,ABC,Total,Media,Quantidade,TOTAL,
,,31,5.58,4.99,4.99,15.56,5.186666667,5,25.93333333
LEITE (1L),marca,33,Itambé,Cemil,Total,Media,Quantidade,TOTAL,
,,33,4.58,4.58,4.28,13.44,4.48,7.5,33.6
LEITE EM PÓ (450g),marca,35,Itambé,Piracanjuba ,Total,Media,Quantidade,TOTAL,
,,35,14.98,15.98,15.98,46.94,15.64666667,3,46.94
MACARRÃO (pac. 500g),marca,37,Santa Amália,Galo,Total,Media,Quantidade,TOTAL,
,,37,4.65,4.65,4.78,14.08,4.693333333,4,18.77333333
BISCOITO MAISENA (pac. 200g),marca,39,Mabel,Marilan,Total,Media,Quantidade,TOTAL,
,,39,2.65,2.65,2.38,7.68,2.56,4,10.24
CARNE DE PRIMEIRA (1kg),marca,41,Contra-filé,Alcatra,Total,Media,Quantidade,TOTAL,
,,41,41.99,41.99,41.99,125.97,41.99,3,125.97
CARNE DE SEGUNDA (1kg),marca,43,Acém,Costela,Total,Media,Quantidade,TOTAL,
,,43,24.98,24.98,24.98,74.94,24.98,4,99.92
FRANGO RESFRIADO INT. (1kg),marca,45,Ferreira ,Sadia,Total,Media,Quantidade,TOTAL,
,,45,6.9,6.9,,13.8,6.9,5,34.5
SALSICHA AVULSA (1kg),marca,47,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,47,13.98,13.98,13.98,41.94,13.98,0.5,6.99
LINGUIÇA TOSCANA FRESCA (1kg),marca,49,Frial,Sadia,Total,Media,Quantidade,TOTAL,
,,49,12.98,12.98,12.98,38.94,12.98,0.3,3.894
QUEIJO MUSSARELA FAT. (1kg),marca,51,Copatos,Quero,Total,Media,Quantidade,TOTAL,
,,51,33.8,33.8,33.8,101.4,33.8,0.5,16.9
,,53,,,Total,Media,Quantidade,TOTAL,896.6031667
,,53,,,,,,,
SABÃO EM PÓ (800g),marca,55,Tixan Ypê,Brilhante,Total,Media,Quantidade,TOTAL,
,,55,6.49,7.95,7.95,22.39,7.463333333,4,29.85333333
SABÃO EM BARRA (unid.),marca,57,Razzo,Ypê ,Total,Media,Quantidade,TOTAL,
,,57,3.49,3.8,,7.29,3.645,15,54.675
ÁGUA SANITÁRIA (1L),marca,59,Ypê,Santa Clara ,Total,Media,Quantidade,TOTAL,
,,59,3.4,3.4,3.4,10.2,3.4,2,6.8
DETERGENTE (500 ml),marca,61,Ypê,Minuano,Total,Media,Quantidade,TOTAL,
,,61,2.49,2.18,2.18,6.85,2.283333333,2,4.566666667
,,63,,,Total,Media,Quantidade,TOTAL,95.895
,,63,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,65,Paradiso,zapel plus,Total,Media,Quantidade,TOTAL,
,,65,4.35,4.35,4.99,13.69,4.563333333,3,13.69
CREME DENTAL (tubo 90g),marca,67,Colgate,Sorriso,Total,Media,Quantidade,TOTAL,
,,67,4.89,3.49,,8.38,4.19,2,8.38
SABONETE (90g),marca,69,Lux,Palmolive,Total,Media,Quantidade,TOTAL,
,,69,2.29,2.48,1.99,6.76,2.253333333,10,22.53333333
