Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Vasconcelos ,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,21.78,18.49,22.48,62.75,20.91666667,3,62.75
FEIJÃO (1kg),marca,Codil,Agrominas,Vasconcelos,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,5.9,5.9,5.98,17.78,5.926666667,4,23.70666667
AÇÚCAR (5kg),marca,Delta,Cristal de minas ,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,17.98,16.99,16.99,51.96,17.32,2,34.64
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Fino Grão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,14.9,14.98,14.98,44.86,14.95333333,3,44.86
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,4.68,4.68,5.98,15.34,5.113333333,3,15.34
FARINHA DE MAND. (1kg),marca,Pachá,Codil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,6.9,7.48,7.48,21.86,7.286666667,1,7.286666667
BATATA (1kg),marca,Batata Inglesa,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,5.98,,,5.98,5.98,4,23.92
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,3.59,,,3.59,3.59,1,3.59
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,8.98,,,8.98,8.98,9,80.82
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,19.9,,,19.9,19.9,0.2,3.98
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,11.89,12.98,,24.87,12.435,3,37.305
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,4.98,4.98,4.98,14.94,4.98,4,19.92
EXTRATO DE TOMATE (340g),marca,Santa Amália,Elefante ,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (340g),preço,4.18,5.98,4.18,14.34,4.78,2,9.56
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,10.9,,,10.9,10.9,6,65.4
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,5.98,3.69,,9.67,4.835,7.5,36.2625
ÓLEO DE SOJA (900ml),marca,Velereiro,ABC,Corcovado,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,5.38,5.38,5.38,16.14,5.38,5,26.9
LEITE (1L),marca,Itambé,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,4.9,4.49,4.49,13.88,4.626666667,7.5,34.7
LEITE EM PÓ (450g),marca,Itambé,Piracanjuba ,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (450g),preço,15.98,16.8,16.8,49.58,16.52666667,3,49.58
MACARRÃO (pac. 500g),marca,Santa Amália,Galo,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,3.98,3.98,4.5,12.46,4.153333333,4,16.61333333
BISCOITO MAISENA (pac. 200g),marca,Vilma ,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,2.48,2.65,2.75,7.88,2.626666667,4,10.50666667
CARNE DE PRIMEIRA (1kg),marca,Contra-filé,Alcatra,Chá de fora,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,39.99,29.99,29.99,99.97,33.32333333,3,99.97
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,músculo,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,24.98,19.98,19.98,64.94,21.64666667,4,86.58666667
FRANGO RESFRIADO INT. (1kg),marca,Friall,Sadia,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,5.98,5.98,,11.96,5.98,5,29.9
SALSICHA AVULSA (1kg),marca,Frial,Sadia,Perdigão ,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,7.48,10.98,10.98,29.44,9.813333333,0.5,4.906666667
LINGUIÇA TOSCANA FRESCA (1kg),marca,Frial,Sadia,Saudalli ,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,12.98,18.98,12.98,44.94,14.98,0.3,4.494
QUEIJO MUSSARELA FAT. (1kg),marca,Copatos,Quero,Porto Alegre,Total,Media,Quantidade	,TOTAL
QUEIJO MUSSARELA FAT. (1kg),preço,34.8,34.8,34.8,104.4,34.8,0.5,17.4
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
SABÃO EM PÓ (800g),marca,Tixan Ypê,Brilhante,OMO,Total,Media,Quantidade	,TOTAL
SABÃO EM PÓ (800g),preço,0,0,0,0,0,4,0
SABÃO EM BARRA (unid.),marca,Razzo,Ypê ,xxxxxxx,Total,Media,Quantidade	,TOTAL
SABÃO EM BARRA (unid.),preço,3.49,3.8,,7.29,3.645,15,54.675
ÁGUA SANITÁRIA (1L),marca,Ypê,Santa Clara ,Super Globo ,Total,Media,Quantidade	,TOTAL
ÁGUA SANITÁRIA (1L),preço,3.4,3.4,3.4,10.2,3.4,2,6.8
DETERGENTE (500 ml),marca,Ypê,Minuano,Limpol,Total,Media,Quantidade	,TOTAL
DETERGENTE (500 ml),preço,2.49,2.18,2.18,6.85,2.283333333,2,4.566666667
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,Paradiso,Bob,Mili Bianco,Total,Media,Quantidade	,TOTAL
PAPEL HIGIÊNICO (pac. 4 unid.),preço,4.65,4.65,5.78,15.08,5.026666667,3,15.08
CREME DENTAL (tubo 90g),marca,Colgate,Sorriso,xxxxxxx,Total,Media,Quantidade	,TOTAL
CREME DENTAL (tubo 90g),preço,4.89,5.49,,10.38,5.19,2,10.38
SABONETE (90g),marca,Lux,Palmolive,Albany ,Total,Media,Quantidade	,TOTAL
SABONETE (90g),preço,2.29,1.99,,4.28,2.14,10,21.4
DESODORANTE SPRAY (100ml),marca,Rexona ,Monange ,xxxxxxx,Total,Media,Quantidade	,TOTAL
DESODORANTE SPRAY (100ml),preço,15.8,9.9,,25.7,12.85,2,25.7
