Produto,Tipo,index,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,1,Codil,Codisul,Total,Media,Quantidade,TOTAL,TOTAL
,,1,24.69,24.69,17.99,67.37,22.45666667,3,67.37
FEIJÃO (1kg),marca,3,Codil,Da dinha,Total,Media,Quantidade,TOTAL,
,,3,6.89,6.85,6.85,20.59,6.863333333,4,27.45333333
AÇÚCAR (5kg),marca,5,Delta,Bruçúcar,Total,Media,Quantidade,TOTAL,
,,5,18.98,18.98,18.98,56.94,18.98,2,37.96
CAFÉ / em pó (500g),marca,7,3 Corações,Letícia,Total,Media,Quantidade,TOTAL,
,,7,17.99,16.98,16.98,51.95,17.31666667,3,51.95
FARINHA DE TRIGO (1kg),marca,9,Globo,Dona Benta,Total,Media,Quantidade,TOTAL,
,,9,6.89,8.59,6.89,22.37,7.456666667,3,22.37
FARINHA DE MAND. (1kg),marca,11,Pachá,Milu,Total,Media,Quantidade,TOTAL,
,,11,7.68,7.89,7.89,23.46,7.82,1,7.82
BATATA (1kg),marca,13,Batata Inglesa,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,13,5.98,,,5.98,5.98,4,23.92
CEBOLA (1kg),marca,15,Cebola,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,15,5.98,,,5.98,5.98,1,5.98
TOMATE (1kg),marca,17,Tomate,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,17,8.98,,,8.98,8.98,9,80.82
ALHO (1kg),marca,19,Alho,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,19,19.98,,,19.98,19.98,0.2,3.996
OVOS (1 Dz.),marca,21,Branco,Vermelho,Total,Media,Quantidade,TOTAL,
,,21,11.38,11.38,,22.76,11.38,3,34.14
MARGARINA (250g),marca,23,Qualy,Claybom,Total,Media,Quantidade,TOTAL,
,,23,4.18,4.18,4.89,13.25,4.416666667,4,17.66666667
EXTRATO DE TOMATE (300g),marca,25,Santa Amália,Elefante ,Total,Media,Quantidade,TOTAL,
,,25,6.99,6.99,4.18,18.16,6.053333333,2,12.10666667
PÃO FRANCÊS (1kg),marca,27,Pão,xxxxxxx,Total,Media,Quantidade,TOTAL,
,,27,14.99,,,14.99,14.99,6,89.94
FRUTA / BANANA (1kg),marca,29,Prata,Caturra,Total,Media,Quantidade,TOTAL,
,,29,5.98,3.98,,9.96,4.98,7.5,37.35
ÓLEO DE SOJA (900ml),marca,31,ABC,Vitaliv,Total,Media,Quantidade,TOTAL,
