Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int
ARROZ (5kg),marca,Codil,Codisul,Martins,Total,Media,Quantidade	,TOTAL
ARROZ (5kg),preço,26.49,22.99,22.99,72.47,24.15666667,3,72.47
FEIJÃO (1kg),marca,Codil,Agrominas,Eldorado,Total,Media,Quantidade	,TOTAL
FEIJÃO (1kg),preço,24.99,,,24.99,24.99,4,99.96
AÇÚCAR (5kg),marca,Delta,Laçúcar,Gran Petit,Total,Media,Quantidade	,TOTAL
AÇÚCAR (5kg),preço,20.99,20.99,20.99,62.97,20.99,2,41.98
CAFÉ / em pó (500g),marca,3 Corações,Letícia,Ribeirão,Total,Media,Quantidade	,TOTAL
CAFÉ / em pó (500g),preço,18.99,16.98,16.48,52.45,17.48333333,3,52.45
FARINHA DE TRIGO (1kg),marca,Globo,Dona Benta,Vilma,Total,Media,Quantidade	,TOTAL
FARINHA DE TRIGO (1kg),preço,5.79,,,5.79,5.79,3,17.37
FARINHA DE MAND. (1kg),marca,Codil ,Ama Fil,Agric./famíliar,Total,Media,Quantidade	,TOTAL
FARINHA DE MAND. (1kg),preço,,,9.4,9.4,9.4,1,9.4
BATATA (1kg),marca,Batata Ingles,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
BATATA (1kg),preço,3.59,,,3.59,3.59,4,14.36
CEBOLA (1kg),marca,Cebola,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
CEBOLA (1kg),preço,3.59,,,3.59,3.59,1,3.59
TOMATE (1kg),marca,Tomate,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
TOMATE (1kg),preço,5.4,,,5.4,5.4,9,48.6
ALHO (1kg),marca,Alho,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
ALHO (1kg),preço,23.99,,,23.99,23.99,0.2,4.798
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL
OVOS (1 Dz.),preço,23.23,23.23,,46.46,23.23,3,69.69
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL
MARGARINA (250g),preço,4.19,4.19,4.19,12.57,4.19,4,16.76
EXTRATO DE TOMATE (350g),marca,Santa Amália,Minas,Colonial,Total,Media,Quantidade	,TOTAL
EXTRATO DE TOMATE (350g),preço,5,5,5,15,5,2,10
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL
PÃO FRANCÊS (1kg),preço,13.99,,,13.99,13.99,6,83.94
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRUTA / BANANA (1kg),preço,3.65,3.65,,7.3,3.65,7.5,27.375
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Veleiro ,Total,Media,Quantidade	,TOTAL
ÓLEO DE SOJA (900ml),preço,6.99,,,6.99,6.99,5,34.95
LEITE (1L),marca,Cemil,Itambé ,Camponesa,Total,Media,Quantidade	,TOTAL
LEITE (1L),preço,5.69,5.69,5.69,17.07,5.69,7.5,42.675
LEITE EM PÓ (400g),marca,Itambé,Nutril,Piracanjuba ,Total,Media,Quantidade	,TOTAL
LEITE EM PÓ (400g),preço,16.99,,,16.99,16.99,3,50.97
MACARRÃO (pac. 500g),marca,Santa Amália,Mara,Vilma,Total,Media,Quantidade	,TOTAL
MACARRÃO (pac. 500g),preço,5.59,3.89,5.59,15.07,5.023333333,4,20.09333333
BISCOITO MAISENA (pac. 200g),marca,Mabel,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL
BISCOITO MAISENA (pac. 200g),preço,3.49,3.49,3.49,10.47,3.49,4,13.96
CARNE DE PRIMEIRA (1kg),marca,Lagarto,Alcatra,Coxão Mole,Total,Media,Quantidade	,TOTAL
CARNE DE PRIMEIRA (1kg),preço,41,,,41,41,3,123
CARNE DE SEGUNDA (1kg),marca,Paleta ,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL
CARNE DE SEGUNDA (1kg),preço,36,36,,72,36,4,144
FRANGO RESFRIADO INT. (1kg),marca,Cogran,Sadia,xxxxxxx,Total,Media,Quantidade	,TOTAL
FRANGO RESFRIADO INT. (1kg),preço,8.85,,,8.85,8.85,5,44.25
SALSICHA AVULSA (1kg),marca,Avivar,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL
SALSICHA AVULSA (1kg),preço,12.6,,,12.6,12.6,0.5,6.3
LINGUIÇA TOSCANA FRESCA (1kg),marca,Suíno ,Sadia,Saudali,Total,Media,Quantidade	,TOTAL
LINGUIÇA TOSCANA FRESCA (1kg),preço,18.99,,,18.99,18.99,0.3,5.697
QUEIJO MUSSARELA FAT. (1kg),marca,Saborosa,Coopatos,Vista Alegre,Total,Media,Quantidade	,TOTAL
QUEIJO MUSSARELA FAT. (1kg),preço,44.99,,,44.99,44.99,0.5,22.495
,,,,,Total,Media,Quantidade	,TOTAL
,,,,,,,,
SABÃO EM PÓ (400g),marca,Tixan Ypê,Minuano ,OMO,Total,Media,Quantidade	,TOTAL
SABÃO EM PÓ (400g),preço,6.79,6.79,6.79,20.37,6.79,4,27.16
